Book Name,Author Name,Narrator Name,Book Size,Book Ratings
The Khalistan Conspiracy, G.B.S. Sidhu, Adwait Karambelkar, 9 hrs and 2 mins,4.5 out of 5 stars
The Everyday Hero Manifesto, Robin Sharma, Adam Sims, 9 hrs and 27 mins,4.5 out of 5 stars
The Captain, Will Wight, Travis Baldree, 11 hrs and 24 mins,Not rated yet
The Power of Unwavering Focus, Dandapani, Dandapani, 9 hrs and 56 mins,4.5 out of 5 stars
And the Mountains Echoed, Khaled Hosseini," Navid Negahban, Shohreh Aghdashloo, Khaled Hosseini", 14 hrs and 1 min,Not rated yet
The Way of the Superior Man, David Deida, Cecil Archbold, 5 hrs and 22 mins,4.5 out of 5 stars
What's Our Problem?, Tim Urban, Tim Urban, 13 hrs and 58 mins,5 out of 5 stars
The Design of Everyday Things, Don Norman, Neil Hellegers, 10 hrs and 39 mins,4.5 out of 5 stars
The Molecule of More," Daniel Z. Lieberman MD, Michael E. Long", Tom Parks, 8 hrs and 13 mins,4.5 out of 5 stars
Nine Mantras for Happiness and Success, Maj. Gen. Anand Saxena, Rajat Verman, 6 hrs and 30 mins,5 out of 5 stars
The Man Who Saved India, Hindol Sengupta, B. Andrew, 13 hrs and 37 mins,4.5 out of 5 stars
The Earth Transformed, Peter Frankopan, Peter Frankopan, 29 hrs and 11 mins,Not rated yet
Everybody Writes (2nd Edition), Ann Handley," Carolyn Jania, Ann Handley", 11 hrs and 26 mins,Not rated yet
The Art of War, Sun Tzu, Aidan Gillen, 1 hr and 7 mins,4 out of 5 stars
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime, MJ DeMarco, MJ DeMarco, 12 hrs and 46 mins,4.5 out of 5 stars
A Day of Fallen Night, Samantha Shannon," Ellie Kendrick, Sheila Atim, Thoren Ferguson, Hanako Footman, Samantha Shannon, Saara El-Arifi", 38 hrs and 48 mins,Not rated yet
1984, George Orwell, Andrew Wincott, 12 hrs and 19 mins,4.5 out of 5 stars
Rich Dad's Cashflow Quadrant, Robert T. Kiyosaki, Tim Wheeler, 8 hrs and 48 mins,5 out of 5 stars
Closer to Love, Vex King, Vex King, 9 hrs and 41 mins,5 out of 5 stars
Astrophysics for People in a Hurry, Neil deGrasse Tyson, Neil deGrasse Tyson, 3 hrs and 41 mins,4.5 out of 5 stars
Surrounded by Idiots, Thomas Erikson, David John, 10 hrs and 29 mins,4 out of 5 stars
Outliers, Malcolm Gladwell, Malcolm Gladwell, 7 hrs and 18 mins,4.5 out of 5 stars
How to Win Friends and Influence People, Dale Carnegie, Shernaz Patel, 8 hrs and 5 mins,4.5 out of 5 stars
Dashavatar, Piyusha Vir, Kanchan Bhattacharyya, 5 hrs and 13 mins,3 out of 5 stars
One Hundred Years of Solitude," Gabriel García Márquez, Gregory Rabassa - translator", John Lee, 14 hrs and 4 mins,4.5 out of 5 stars
The God Delusion, Richard Dawkins," Richard Dawkins, Lalla Ward", 13 hrs and 52 mins,4.5 out of 5 stars
The Big Con," Mariana Mazzucato, Rosie Collington", Amy Finegan, 8 hrs and 56 mins,Not rated yet
Beware of Chicken 2: A Xianxia Cultivation Novel, Casualfarmer, Travis Baldree, 18 hrs and 7 mins,Not rated yet
The Untethered Soul, Michael A. Singer, Peter Berkrot, 6 hrs and 11 mins,5 out of 5 stars
The Five Love Languages: The Secret to Love That Lasts, Gary Chapman, Gary Chapman, 4 hrs and 46 mins,5 out of 5 stars
The 48 Laws of Power, Robert Greene, Don Leslie, 9 hrs and 52 mins,4.5 out of 5 stars
Diana, Andrew Morton," Caroline Langrishe, Michael Maloney, Andrew Morton, Jennie Bond", 13 hrs and 45 mins,4.5 out of 5 stars
Nagaon ka Rahassya [The Mystery of the Dragon], Amish Tripathi, Swetanshu Bora, 11 hrs and 47 mins,5 out of 5 stars
The ONE Thing," Gary Keller, Jay Papasan"," Timothy Miller, Claire Hamilton", 5 hrs and 24 mins,4.5 out of 5 stars
Verity, Colleen Hoover," Vanessa Johansson, Amy Landon", 8 hrs and 10 mins,4.5 out of 5 stars
Atlas Shrugged, Ayn Rand, Scott Brick, 62 hrs and 56 mins,4.5 out of 5 stars
Quiet, Susan Cain, Kathe Mazur, 10 hrs and 39 mins,4.5 out of 5 stars
Fast Like a Girl, Dr. Mindy Pelz, Dr. Mindy Pelz, 8 hrs and 13 mins,Not rated yet
Legends & Lattes, Travis Baldree, Travis Baldree, 7 hrs and 18 mins,4.5 out of 5 stars
Raavan, Amish Tripathi, Sagar Arya, 11 hrs and 32 mins,4.5 out of 5 stars
Essentialism, Greg McKeown, Greg McKeown, 6 hrs and 14 mins,4.5 out of 5 stars
Trading in the Zone, Mark Douglas, Kaleo Griffith, 7 hrs and 57 mins,4.5 out of 5 stars
Behave, Robert M. Sapolsky, Michael Goldstrom, 26 hrs and 27 mins,4.5 out of 5 stars
The Forty Rules of Love, Elif Shafak, George Blagden, 11 hrs and 55 mins,4.5 out of 5 stars
Bose: The Untold Story (Part 1), Chandrachur Ghose, Dev J. Haldar, 16 hrs and 25 mins,4 out of 5 stars
The Power of Now, Eckhart Tolle, Eckhart Tolle, 7 hrs and 37 mins,4.5 out of 5 stars
The Power of Habit, Charles Duhigg, Mike Chamberlain, 10 hrs and 53 mins,4.5 out of 5 stars
Becoming, Michelle Obama, Michelle Obama, 19 hrs and 3 mins,4.5 out of 5 stars
The Psychology of Money, Morgan Housel, Chris Hill, 5 hrs and 48 mins,4.5 out of 5 stars
The Paradox of Choice, Barry Schwartz, Ken Kliban, 7 hrs and 2 mins,4.5 out of 5 stars
Skin in the Game, Nassim Nicholas Taleb, Joe Ochman, 8 hrs and 20 mins,4.5 out of 5 stars
Storyworthy," Matthew Dicks, Dan Kennedy - foreword"," Matthew Dicks, John Glouchevitch", 10 hrs and 1 min,4.5 out of 5 stars
Inspired, Marty Cagan, Marty Cagan, 7 hrs and 45 mins,4.5 out of 5 stars
Six of Crows, Leigh Bardugo," Jay Snyder, Brandon Rubin, Fred Berman, Lauren Fortgang, Roger Clark, Elizabeth Evans, Tristan Morris", 15 hrs and 4 mins,4.5 out of 5 stars
Leaders Eat Last, Simon Sinek, Simon Sinek, 9 hrs and 22 mins,4.5 out of 5 stars
Life 3.0, Max Tegmark, Rob Shapiro, 13 hrs and 29 mins,4.5 out of 5 stars
Who Will Cry When You Die?, Robin Sharma, Adam Verner, 3 hrs and 42 mins,4.5 out of 5 stars
"Guns, Germs and Steel", Jared Diamond, Doug Ordunio, 16 hrs and 20 mins,4.5 out of 5 stars
Hooked: How to Build Habit-Forming Products," Nir Eyal, Ryan Hoover", Nir Eyal, 4 hrs and 40 mins,4.5 out of 5 stars
A Short History of Nearly Everything, Bill Bryson, William Roberts, 18 hrs and 59 mins,4.5 out of 5 stars
Why We Sleep, Matthew Walker, John Sackville, 13 hrs and 31 mins,5 out of 5 stars
The Body Keeps the Score, Bessel A. van der Kolk, Sean Pratt, 16 hrs and 16 mins,5 out of 5 stars
Bharat ka Rakshak Maharaja Suheldev (Hindi Edition), Amish Tripathi, Neha Gargava, 12 hrs and 13 mins,4.5 out of 5 stars
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did), Philippa Perry, Philippa Perry, 8 hrs and 52 mins,4.5 out of 5 stars
The Anarchy, William Dalrymple, Sid Sagar, 15 hrs and 43 mins,4.5 out of 5 stars
Daisy Jones and the Six, Taylor Jenkins Reid," Sara Arrington, Jennifer Beals, Arthur Bishop, Fred Berman, Benjamin Bratt, Jonathan Davis, Ari Fliakos, Holter Graham, Judy Greer, January Lavoy, Robinne Lee, Peter Larkin, Henry Leyva, P.J. Ochlan, Robert Petkoff", 9 hrs and 3 mins,4.5 out of 5 stars
The Go-Giver," Bob Burg, John David Mann"," Bob Burg, John David Mann", 2 hrs and 54 mins,5 out of 5 stars
I Will Find You, Harlan Coben, Steven Weber, 10 hrs and 16 mins,4.5 out of 5 stars
"Harry Potter and the Order of the Phoenix, Book 5", J.K. Rowling, Stephen Fry, 29 hrs and 1 min,5 out of 5 stars
Emotional Intelligence, Daniel Goleman, Daniel Goleman, 2 hrs and 59 mins,4 out of 5 stars
A Suitable Boy (Dramatised), Vikram Seth," Ayesha Dharker, Mahabanoo Mody-Kotwal, full cast", 5 hrs and 44 mins,4.5 out of 5 stars
"The Boy, the Mole, the Fox and the Horse", Charlie Mackesy, Charlie Mackesy, 58 mins,5 out of 5 stars
The Emperor, RuNyx," Wen Ross, Ramona Master", 11 hrs and 3 mins,Not rated yet
How to Be an Adult in Relationships, David Richo, David Richo, 9 hrs and 20 mins,4 out of 5 stars
To Kill a Mockingbird, Harper Lee, Sissy Spacek, 12 hrs and 17 mins,4.5 out of 5 stars
Getting to Yes," Roger Fisher, William Ury, Bruce Patton", Dennis Boutsikaris, 6 hrs and 16 mins,4.5 out of 5 stars
The Daily Stoic," Ryan Holiday, Stephen Hanselman", Brian Holsopple, 10 hrs and 6 mins,5 out of 5 stars
I Will Teach You to Be Rich, Ramit Sethi, Ramit Sethi, 12 hrs and 8 mins,4.5 out of 5 stars
Beyond Good and Evil, Friedrich Nietzsche," Alex Jennings, Roy McMillan", 8 hrs and 24 mins,5 out of 5 stars
The E-Myth Revisited, Michael E. Gerber, Michael E. Gerber, 8 hrs and 5 mins,5 out of 5 stars
Mythos, Stephen Fry, Stephen Fry, 15 hrs and 25 mins,4.5 out of 5 stars
"Men Are from Mars, Women Are from Venus", John Gray, John Gray, 9 hrs and 28 mins,4.5 out of 5 stars
Linchpin, Seth Godin, Seth Godin, 8 hrs and 19 mins,4.5 out of 5 stars
Coffee Can Investing, Saurabh Mukherjea, Abhinandan Tejaswi, 5 hrs and 47 mins,4 out of 5 stars
The Monk Who Sold His Ferrari, Robin Sharma, Robin Sharma, 2 hrs and 40 mins,4.5 out of 5 stars
Rework," Jason Fried, David Heinemeier Hansson", Mike Chamberlain, 2 hrs and 50 mins,4.5 out of 5 stars
How Big Things Get Done," Professor Bent Flyvbjerg, Dan Gardner", Ben Shapiro, 7 hrs and 16 mins,5 out of 5 stars
Choosing to Run," Des Linden, Bonnie D. Ford - contributor", Des Linden, 5 hrs and 31 mins,Not rated yet
Gut, Giulia Enders, Katy Sobey, 7 hrs and 26 mins,4.5 out of 5 stars
The Qur'an, M. A. S. Abdel Haleem - translator, Ayman Haleem, 19 hrs and 15 mins,4.5 out of 5 stars
The Diabetes Code, Dr. Jason Fung, Dr. Jason Fung, 7 hrs and 24 mins,5 out of 5 stars
Man's Search for Meaning, Viktor E. Frankl, Simon Vance, 4 hrs and 44 mins,4.5 out of 5 stars
The Revenge of Geography, Robert D. Kaplan, Michael Prichard, 13 hrs and 24 mins,4.5 out of 5 stars
Sita-Mithila Ki Yoddha [Sita: Warrior of Mithila], Amish Tripathi, Surjan Singh, 11 hrs and 11 mins,4.5 out of 5 stars
Data Mesh, Zhamak Dehghani, Zura Johnson, 14 hrs and 2 mins,Not rated yet
An Undelivered Speech: Annihilation of Caste, Dr B.R. Ambedkar, Siddhartha Valicharla, 4 hrs and 50 mins,5 out of 5 stars
The Courage of Compassion," Robin Steinberg, Camilo Ramirez - contributor", Robin Steinberg, 5 hrs and 35 mins,Not rated yet
Shrimad Bhagwad Gita (Hindi Edition), R. R. Varma, Kumud Soney, 25 hrs and 56 mins,4.5 out of 5 stars
Algorithms to Live By," Brian Christian, Tom Griffiths", Brian Christian, 11 hrs and 50 mins,4.5 out of 5 stars
Just Keep Buying, Nick Maggiulli, Kevin Meyer, 6 hrs and 21 mins,4.5 out of 5 stars
Four Thousand Weeks, Oliver Burkeman, Oliver Burkeman, 5 hrs and 53 mins,4.5 out of 5 stars
The War of Art, Steven Pressfield, Steven Pressfield, 2 hrs and 29 mins,4.5 out of 5 stars
"Crucial Conversations, Second Edition"," Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler", Joseph Grenny, 6 hrs and 27 mins,5 out of 5 stars
Hitchhiker's Guide to the Galaxy, Douglas Adams, Stephen Fry, 5 hrs and 51 mins,4.5 out of 5 stars
The Personal MBA: Master the Art of Business, Josh Kaufman, Josh Kaufman, 15 hrs and 25 mins,4.5 out of 5 stars
The Last Hours, Cassandra Clare, Finty Williams, 29 hrs and 55 mins,Not rated yet
Extreme Ownership," Jocko Willink, Leif Babin"," Jocko Willink, Leif Babin", 9 hrs and 33 mins,4.5 out of 5 stars
The Vedas and Upanishads for Children, Roopa Pai, Sharanya Gopinath, 11 hrs and 59 mins,4.5 out of 5 stars
It Didn't Start with You, Mark Wolynn, Mark Wolynn, 8 hrs and 16 mins,Not rated yet
Rich Dad Poor Dad: 20th Anniversary Edition, Robert T. Kiyosaki, Tom Parks, 8 hrs and 22 mins,4.5 out of 5 stars
$100M Offers, Alex Hormozi, Alexander Hormozi, 3 hrs and 48 mins,5 out of 5 stars
Pegasus," Laurent Richard, Sandrine Rigaud"," Andrew Wehrlen, Rachel Maddow, Rachel Perry", 12 hrs and 30 mins,3.5 out of 5 stars
Inglorious Empire, Shashi Tharoor, Shashi Tharoor, 10 hrs and 33 mins,4.5 out of 5 stars
"Harry Potter and the Chamber of Secrets, Book 2", J.K. Rowling, Stephen Fry, 9 hrs and 43 mins,5 out of 5 stars
Dune, Frank Herbert," Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin, Byron Jennings, David R. Gordon, Jason Culp, Kent Broadhurst, Oliver Wyman, Patricia Kilgarriff, Scott Sowers", 21 hrs and 2 mins,4.5 out of 5 stars
Good to Great, Jim Collins, Jim Collins, 10 hrs and 1 min,4.5 out of 5 stars
Endurance, Alfred Lansing, Simon Prebble, 10 hrs and 20 mins,5 out of 5 stars
Ram-Ikshvaku Ke Vanshaj [Descendants of Rama-Ikshvaku], Amish Tripathi, Surjan Singh, 11 hrs and 21 mins,4.5 out of 5 stars
Prahlad, Kevin Missal, Rajat Verman, 7 hrs and 26 mins,5 out of 5 stars
Think Again, Adam Grant, Adam Grant, 6 hrs and 41 mins,4.5 out of 5 stars
The Greatest Secret, Rhonda Byrne, Rhonda Byrne, 6 hrs and 20 mins,4.5 out of 5 stars
A Promised Land, Barack Obama, Barack Obama, 29 hrs and 10 mins,4.5 out of 5 stars
Twisted Love, Ana Huang," Cindy Kay, Aiden Snow", 10 hrs and 41 mins,4.5 out of 5 stars
The Most Important Thing, Howard Marks, John FitzGibbon, 7 hrs and 9 mins,4.5 out of 5 stars
The Midnight Library, Matt Haig, Carey Mulligan, 9 hrs and 9 mins,4.5 out of 5 stars
Influence, Robert B. Cialdini, Lloyd James, 12 hrs and 25 mins,5 out of 5 stars
Sex at Dawn," Christopher Ryan, Cacilda Jetha"," Allyson Johnson, Jonathan Davis, Christopher Ryan (Preface)", 10 hrs and 57 mins,4.5 out of 5 stars
The Art of Focus, Gauranga Das Prabhu, Abhishek Sharma, 8 hrs and 18 mins,4.5 out of 5 stars
1984, Pav Singh, Sumit Kaul, 6 hrs and 30 mins,4 out of 5 stars
Crying in H Mart, Michelle Zauner, Michelle Zauner, 7 hrs and 23 mins,4.5 out of 5 stars
The Monk Who Sold His Ferrari, Robin Sharma, Humphrey Bower, 6 hrs and 34 mins,4.5 out of 5 stars
Things We Hide from the Light, Lucy Score," Lila Winters, Sebastian York", 17 hrs and 36 mins,4 out of 5 stars
Expert Secrets, Russell Brunson, Russell Brunson, 6 hrs and 26 mins,5 out of 5 stars
American Kingpin, Nick Bilton, Will Damron, 12 hrs and 14 mins,5 out of 5 stars
Great Mythologies of the World," The Great Courses, Grant L. Voth, Julius H. Bailey, Kathryn McClymond, Robert André LaFleur"," Grant L. Voth, Julius H. Bailey, Kathryn McClymond, Robert André LaFleur", 31 hrs and 36 mins,4.5 out of 5 stars
The Sandman: Act III," Neil Gaiman, Dirk Maggs"," Neil Gaiman, James McAvoy, K.J. Apa, Kat Dennings, Shruti Haasan, David Harewood, Regé-Jean Page, Kristen Schaal, Wil Wheaton", 11 hrs and 31 mins,4.5 out of 5 stars
How to Say It: Words That Make a Difference," Allison Friederichs Atkison, The Great Courses", Allison Friederichs Atkison, 4 hrs and 44 mins,4.5 out of 5 stars
Why Has Nobody Told Me This Before?, Julie Smith, Julie Smith, 7 hrs and 13 mins,4.5 out of 5 stars
Dharma, Amish Tripathi, Kanchan Wadi, 4 hrs and 26 mins,4.5 out of 5 stars
Best Loser Wins, Tom Hougaard, Richard Faymonville, 6 hrs and 48 mins,4.5 out of 5 stars
Sophie's World, Jostein Gaarder, Simon Vance, 16 hrs and 53 mins,4.5 out of 5 stars
Breaking the Habit of Being Yourself, Joe Dispenza, Adam Boyce, 10 hrs and 49 mins,5 out of 5 stars
"30 Days - Change Your Habits, Change Your Life", Marc Reklau, Derek Doepker, 4 hrs and 12 mins,5 out of 5 stars
Raavan: Aryavart Ka Shatru [Raavan: Enemy of Aryavarta], Amish Tripathi, Surjan Singh, 12 hrs and 33 mins,4.5 out of 5 stars
Do Epic Shit, Ankur Warikoo, Ankur Warikoo, 3 hrs and 17 mins,4 out of 5 stars
Becoming Supernatural, Joe Dispenza, Adam Boyce, 14 hrs and 6 mins,5 out of 5 stars
Good Power, Ginni Rometty, Ginni Rometty, 9 hrs and 24 mins,Not rated yet
Sophie's World, Jostein Gaarder, Simon Vance, 16 hrs and 53 mins,4.5 out of 5 stars
"30 Days - Change Your Habits, Change Your Life", Marc Reklau, Derek Doepker, 4 hrs and 12 mins,5 out of 5 stars
We Are Legion (We Are Bob), Dennis E. Taylor, Ray Porter, 9 hrs and 56 mins,4.5 out of 5 stars
Raavan: Aryavart Ka Shatru [Raavan: Enemy of Aryavarta], Amish Tripathi, Surjan Singh, 12 hrs and 33 mins,4.5 out of 5 stars
A Life in the Shadows, A.S. Dulat, Showrein Roy Chaudhuri, 10 hrs,Not rated yet
Forge of the High Mage, Ian C Esslemont, John Banks, 17 hrs and 38 mins,Not rated yet
Do Epic Shit, Ankur Warikoo, Ankur Warikoo, 3 hrs and 17 mins,4 out of 5 stars
Pegasus," Laurent Richard, Sandrine Rigaud"," Andrew Wehrlen, Rachel Maddow, Rachel Perry", 12 hrs and 30 mins,3.5 out of 5 stars
Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People], Stephen R. Covey, Yudhvir Dahiya, 16 hrs and 4 mins,4.5 out of 5 stars
Think Like a Monk, Jay Shetty, Jay Shetty, 10 hrs and 54 mins,4.5 out of 5 stars
Unstoppable, Brian Tracy, Michael Tracy, 4 hrs and 15 mins,5 out of 5 stars
The Sandman," Neil Gaiman, Dirk Maggs"," Riz Ahmed, Kat Dennings, Taron Egerton, Neil Gaiman, James McAvoy, Samantha Morton, Bebe Neuwirth, Andy Serkis, Michael Sheen", 11 hrs and 2 mins,4.5 out of 5 stars
The 7 Habits of Highly Effective People (Tamil Edition), Stephen R. Covey, R Ramesh, 18 hrs and 44 mins,Not rated yet
The Exile," Cathy Scott-Clark, Adrian Levy", Chris Kayser, 24 hrs and 50 mins,5 out of 5 stars
Win Every Argument, Mehdi Hasan, Mehdi Hasan, 8 hrs and 11 mins,4.5 out of 5 stars
Project Hail Mary, Andy Weir, Ray Porter, 16 hrs and 10 mins,5 out of 5 stars
The Miracle of Mindfulness, Thích Nhất Hạnh, John Sackville, 4 hrs and 11 mins,4.5 out of 5 stars
Visual Thinking, Temple Grandin," Andrea Gallo, Temple Grandin", 12 hrs and 31 mins,5 out of 5 stars
Atomic Habits, James Clear, James Clear, 5 hrs and 35 mins,5 out of 5 stars
A House for Mr. Biswas, V. S. Naipaul, Sam Dastor, 21 hrs and 29 mins,4 out of 5 stars
Be Your Future Self Now, Dr. Benjamin Hardy, Dr. Benjamin Hardy, 4 hrs and 2 mins,4.5 out of 5 stars
The Bullet That Missed, Richard Osman, Fiona Shaw, 11 hrs and 17 mins,4.5 out of 5 stars
Eat to Beat Disease, William W Li, Peter Ganim, 13 hrs and 56 mins,Not rated yet
My Gita, Devdutt Pattanaik, Vivek Madan, 6 hrs and 15 mins,4.5 out of 5 stars
Essence of the Upanishads, Eknath Easwaran, Paul Bazely, 8 hrs and 41 mins,4.5 out of 5 stars
How to Become a People Magnet, Marc Reklau, Greg Douras, 2 hrs and 45 mins,4.5 out of 5 stars
"Harry Potter and the Prisoner of Azkaban, Book 3", J.K. Rowling, Stephen Fry, 12 hrs and 3 mins,5 out of 5 stars
"Best Kept Secret: Clifton Chronicles, Book 3", Jeffrey Archer, Alex Jennings, 11 hrs and 15 mins,4.5 out of 5 stars
Legend of Suheldev, Amish Tripathi, Shernaz Patel, 11 hrs and 6 mins,4 out of 5 stars
"The Mixer: The Story of Premier League Tactics, from Route One to False Nines", Michael Cox, Colin Mace, 14 hrs and 24 mins,5 out of 5 stars
A Clash of Kings, George R.R. Martin, Roy Dotrice, 37 hrs and 12 mins,5 out of 5 stars
The World for Sale," Javier Blas, Jack Farchy", John Sackville, 12 hrs and 4 mins,4.5 out of 5 stars
The Richest Man in Babylon, George S. Clason, Grover Gardner, 4 hrs and 4 mins,4.5 out of 5 stars
Existential Physics, Sabine Hossenfelder, Gina Daniels, 8 hrs and 7 mins,5 out of 5 stars
Dr. Cuterus, Tanaya Narendra, Tanaya Narendra, 7 hrs and 13 mins,4 out of 5 stars
Beartown, Fredrik Backman, John Sackville, 13 hrs and 43 mins,4.5 out of 5 stars
My Brilliant Friend, Elena Ferrante, Hillary Huber, 12 hrs and 38 mins,4.5 out of 5 stars
Romantic Comedy, Curtis Sittenfeld, Kristen Sieh, 9 hrs and 5 mins,Not rated yet
Leadership Wisdom from the Monk Who Sold His Ferrari, Robin Sharma, Adam Verner, 7 hrs and 31 mins,5 out of 5 stars
The Perfect Murder, Ruskin Bond, Tejas Menon, 5 hrs and 12 mins,1.5 out of 5 stars
The Obesity Code, Jason Fung, Brian Nishii, 10 hrs and 9 mins,5 out of 5 stars
My Brilliant Friend, Elena Ferrante, Hillary Huber, 12 hrs and 38 mins,4.5 out of 5 stars
